	cf	lMax	periSum	sizeExp	lMean	specLMom	cop	scai	nClouds	iOrgPoiss	fracDim	iOrg	orie	eccA	d0	area	ecc	eqdia	scai initi	mean_area	frac	filename	labels	clusters
0	0.0	34.36568055487916	26.654681360523686	-1.691732512763232	6.756216740637074		0.06971547445574529	1.4644185599717643	99	0.6449570911725581	1.6225364012947	0.6860524436282012		0.8635021888808858	109.05924402989722	5066	0.5668226441149756	80.31333347351693		5066.0	19.711761474609375	00000_anchor.png	3	8
0	0.0	81.40024569987489	40.04168973219922	-1.2709989890609885	10.79490620616965		0.07851765051920376	1.558389977902342	100	0.5660419087468128	1.7142770833250733	0.60115	13.792969703410948	0.807854426050422	104.42806297730868	12306	0.48872396828991743	125.17382249300735		12306.0	47.882537841796875	00001_anchor.png	0	9
0	0.0	94.19129471453293	86.32595349894787	-1.2143954019175818	17.745193487023236		0.13231426513384056	0.7356341710841567	74	0.6318966036187635	1.7307801685579816	0.7311906501095691		0.8241238285756511	109.07357700491244	23526	0.6689688247862958	173.07291391040783		23526.0	91.53945922851562	00002_anchor.png	1	7
0	0.0	25.11971337416094	27.998387541681076	-1.0825187242112428	7.053905000606101		0.07658586061696186	0.978306243703649	66	0.7029727732165265	1.5252097528885966	0.7075298438934803	4.634123845270441	0.866727568663844	106.14946686649395	3673	0.7297358469868298	68.38573570425527		3673.0	14.291610717773438	00003_anchor.png	1	5
0	0.0	47.15930449020638	39.345562748477136	-1.4923200088773838	9.519716382329886		0.09069212349126153	1.0225863603219867	72	0.684012864314578	1.6062250476072668	0.6820987654320987	10.727197367694238	0.8236455116188911	98.84398187324737	6962	0.7337283434193067	94.15037817473812		6962.0	27.089080810546875	00004_anchor.png	2	3
0	0.0	42.0	58.74972318800146	-0.7628637769669343	11.760566498674624		0.09906741643011135	1.3250676849438534	119	0.5539700180218486	1.8012794614927767	0.6764705882352942	8.924663536701864	0.852807507051056	104.12426354973667	16928	0.5124897052047963	146.81075918772723		16928.0	65.86669921875	00005_anchor.png	1	11
0	0.0	24.1039415863879	26.374317366786862	-1.4148138983446699	6.62989860824097		0.07087793423579652	1.3560827053291868	90	0.5789918034272884	1.5996352995404566	0.6331481481481481		0.8736504776806258	108.91205413781077	4449	0.21854843544364866	75.26382088710844		4449.0	17.311019897460938	00006_anchor.png	2	3
0	0.0	31.160872901765767	30.40247539225572	-1.7932595398985627	7.410535104454411		0.07406799206306562	1.5766281833181828	131	0.5409310705305854	1.699401730136251	0.6221956762426432	7.35443983312019	0.8021043519195636	112.3107658934135	7711	0.6915678089427721	99.08556973370462		7711.0	30.003433227539062	00007_anchor.png	2	6
0	0.0	25.238858928247925	25.853263657689467	-1.867797649017839	6.809729348006678		0.06489478881439108	1.716444646088365	145	0.5250888564787948	1.6978640156256832	0.6306064209274673		0.8152188162315916	120.43781191225598	7261	0.6408910140145471	96.15088316974533		7261.0	28.252487182617188	00008_anchor.png	2	2
0	0.0	8.888194417315589	9.740922904060913	-3.1987795590770625	3.3230337331254045		0.0553473580738491	1.5567287559313545	47	0.7096735210313612	1.500900873369509	0.76233589859665		0.9092673128478475	111.13483197028023	1148	0.7868986416378926	38.231910720705116		1148.0	4.46685791015625	00009_anchor.png	3	4
0	0.0	32.29551052391029	27.89203326503766	-1.7093911397827182	7.420411039827915		0.06881794136590162	1.210349432831685	80	0.6097469392846132	1.578976982752532	0.62640625		0.7966692316582744	118.03788754472815	4829	0.6255577522378682	78.41220416189115		4829.0	18.789596557617188	00010_anchor.png	1	0
0	0.0	71.60307255977219	49.681867805893496	-1.7692983955342043	11.706077825835438		0.08087308910939565	1.4664315393437333	93	0.5970374449949313	1.6991804175188636	0.6484564689559487		0.7186351981381495	117.77458010101827	13251	0.743410259791438	129.8910974904964		13251.0	51.55952453613281	00011_anchor.png	0	8
0	0.0	37.61648574760805	51.79129185731985	-0.8445069199670888	10.954451150103322		0.09888074884643752	1.0610128114353794	108	0.5366751625539818	1.7444838772275078	0.6370027434842249	23.062605797042465	0.8274515050560785	105.67558603378272	13335	0.6004457878326258	130.30214629484578		13335.0	51.88636779785156	00012_anchor.png	1	11
0	0.0	40.69397989875161	42.01318830392823	-1.5029024675758205	9.274372540176829		0.08035711129844418	1.681367273137173	143	0.49894667015819844	1.7637460998795096	0.607120152574698		0.7841478821911367	121.35471983735437	12773	0.39454127085657115	127.52681563068307		12773.0	49.69963073730469	00013_anchor.png	1	7
0	0.0	65.55150646628954	41.62135333411698	-1.4280343562550848	10.173494974687902		0.0865775213945908	0.9966200075020972	106	0.5521651078979197	1.6938858541455075	0.6383944464222143		0.8001464568358366	100.79396421552075	11346	0.5306859549783924	120.1922454843288		11346.0	44.147186279296875	00014_anchor.png	1	8
0	0.0	74.82646590612174	43.432789349471285	-1.6593477242339545	10.575916035975323		0.08867720779952482	1.4453406036276706	140	0.5535321690032006	1.7599179263252989	0.639795918367347		0.8879093908981134	106.90952799022914	16156	0.49177642956037515	143.42404988265145		16156.0	62.86285400390625	00015_anchor.png	0	8
0	0.0	50.566787519082126	58.80525231825672	-1.4402900781380448	12.87208126879551		0.09422553558599775	1.1925651825530958	84	0.48539781324783754	1.7250875836794053	0.6364795918367346	13.834972423986052	0.7996291705888993	122.11867469343701	14285	0.5956383768855874	134.86373454914335		14285.0	55.58280944824219	00016_anchor.png	1	11
